time,CH1,CH2,trigger
0.0000000,0.31932,0.46556,1.0
0.0000200,0.49478,0.46541,0.0
0.0000400,0.63479,0.44013,0.0
0.0000600,0.72986,0.39131,0.0
0.0000800,0.78255,0.32188,0.0
0.0001000,0.80159,0.23591,0.0
0.0001200,0.79260,0.13834,0.0
0.0001400,0.75276,0.03464,0.0
0.0001600,0.67344,-0.06953,0.0
0.0001800,0.54891,-0.16866,0.0
0.0002000,0.38415,-0.25771,0.0
0.0002200,0.19567,-0.33234,0.0
0.0002400,0.00440,-0.38913,0.0
0.0002600,-0.17414,-0.42569,0.0
0.0002800,-0.33509,-0.44070,0.0
0.0003000,-0.48121,-0.43395,0.0
0.0003200,-0.61429,-0.40622,0.0
0.0003400,-0.72792,-0.35922,0.0
0.0003600,-0.80753,-0.29543,0.0
0.0003800,-0.83791,-0.21800,0.0
0.0004000,-0.81261,-0.13059,0.0
0.0004200,-0.73806,-0.03718,0.0
0.0004400,-0.62925,0.05799,0.0
0.0004600,-0.50035,0.15063,0.0
0.0004800,-0.35729,0.23653,0.0
0.0005000,-0.19798,0.31168,0.0
0.0005200,-0.01966,0.37244,0.0
0.0005400,0.17260,0.41572,0.0
0.0005600,0.36299,0.43910,1.0
0.0005800,0.53047,0.44102,0.0
0.0006000,0.65857,0.42086,0.0
0.0006200,0.74237,0.37911,0.0
0.0006400,0.78752,0.31734,0.0
0.0006600,0.80226,0.23828,0.0
0.0006800,0.78890,0.14565,0.0
0.0007000,0.74130,0.04408,0.0
0.0007200,0.65047,-0.06114,0.0
0.0007400,0.51384,-0.16436,0.0
0.0007600,0.34097,-0.25986,0.0
0.0007800,0.15101,-0.34223,0.0
0.0008000,-0.03621,-0.40674,0.0
0.0008200,-0.20907,-0.44959,0.0
0.0008400,-0.36635,-0.46822,0.0
0.0008600,-0.51143,-0.46151,0.0
0.0008800,-0.64332,-0.42979,0.0
0.0009000,-0.75176,-0.37491,0.0
0.0009200,-0.82048,-0.30002,0.0
0.0009400,-0.83634,-0.20947,0.0
0.0009600,-0.79742,-0.10841,0.0
0.0009800,-0.71402,-0.00253,0.0
0.0010000,-0.60165,0.10234,0.0
0.0010200,-0.47161,0.20056,0.0
0.0010400,-0.32604,0.28705,0.0
0.0010600,-0.16132,0.35750,0.0
0.0010800,0.02322,0.40865,0.0
0.0011000,0.21830,0.43833,0.0
0.0011200,0.40503,0.44557,1.0
0.0011400,0.56282,0.43055,0.0
0.0011600,0.67895,0.39455,0.0
0.0011800,0.75288,0.33976,0.0
0.0012000,0.79207,0.26915,0.0
0.0012200,0.80298,0.18632,0.0
0.0012400,0.78417,0.09527,0.0
0.0012600,0.72708,0.00025,0.0
0.0012800,0.62380,-0.09441,0.0
0.0013000,0.47585,-0.18443,0.0
0.0013200,0.29698,-0.26577,0.0
0.0013400,0.10766,-0.33472,0.0
0.0013600,-0.07469,-0.38804,0.0
0.0013800,-0.24266,-0.42312,0.0
0.0014000,-0.39773,-0.43804,0.0
0.0014200,-0.54244,-0.43174,0.0
0.0014400,-0.67223,-0.40408,0.0
0.0014600,-0.77346,-0.35593,0.0
0.0014800,-0.82956,-0.28919,0.0
0.0015000,-0.83068,-0.20677,0.0
0.0015200,-0.77959,-0.11249,0.0
0.0015400,-0.68937,-0.01098,0.0
0.0015600,-0.57463,0.09257,0.0
0.0015800,-0.44305,0.19267,0.0
0.0016000,-0.29355,0.28383,0.0
0.0016200,-0.12238,0.36090,0.0
0.0016400,0.06793,0.41939,0.0
0.0016600,0.26389,0.45580,0.0
0.0016800,0.44470,0.46783,1.0
0.0017000,0.59164,0.45459,0.0
0.0017200,0.69639,0.41667,0.0
0.0017400,0.76206,0.35613,0.0
0.0017600,0.79657,0.27636,0.0
0.0017800,0.80348,0.18188,0.0
0.0018000,0.77773,0.07805,0.0
0.0018200,0.70955,-0.02929,0.0
0.0018400,0.59348,-0.13418,0.0
0.0018600,0.43558,-0.23091,0.0
0.0018800,0.25299,-0.31438,0.0
0.0019000,0.06606,-0.38035,0.0
0.0019200,-0.11128,-0.42567,0.0
0.0019400,-0.27556,-0.44845,0.0
0.0019600,-0.42971,-0.44802,0.0
0.0019800,-0.57414,-0.42496,0.0
0.0020000,-0.70037,-0.38099,0.0
