time,CH1,CH2,trigger
0.0000000,0.68134,0.09450,1.0
0.0000200,0.65900,0.04150,1.0
0.0000400,0.61448,-0.01421,0.0
0.0000600,0.54610,-0.07123,0.0
0.0000800,0.46279,-0.12796,0.0
0.0001000,0.37793,-0.18266,0.0
0.0001200,0.29992,-0.23359,0.0
0.0001400,0.22666,-0.27918,0.0
0.0001600,0.14828,-0.31811,0.0
0.0001800,0.05591,-0.34943,0.0
0.0002000,-0.05027,-0.37258,0.0
0.0002200,-0.15991,-0.38745,0.0
0.0002400,-0.25926,-0.39431,0.0
0.0002600,-0.34055,-0.39375,0.0
0.0002800,-0.40679,-0.38655,0.0
0.0003000,-0.46831,-0.37359,0.0
0.0003200,-0.53370,-0.35571,0.0
0.0003400,-0.60220,-0.33363,0.0
0.0003600,-0.66344,-0.30788,0.0
0.0003800,-0.70468,-0.27874,0.0
0.0004000,-0.72008,-0.24632,0.0
0.0004200,-0.71474,-0.21055,0.0
0.0004400,-0.70048,-0.17129,0.0
0.0004600,-0.68656,-0.12846,0.0
0.0004800,-0.67256,-0.08210,0.0
0.0005000,-0.64892,-0.03250,0.0
0.0005200,-0.60465,0.01976,0.0
0.0005400,-0.53633,0.07376,0.0
0.0005600,-0.45144,0.12827,0.0
0.0005800,-0.36333,0.18181,0.0
0.0006000,-0.28183,0.23275,0.0
0.0006200,-0.20668,0.27941,0.0
0.0006400,-0.12881,0.32026,0.0
0.0006600,-0.03853,0.35394,0.0
0.0006800,0.06579,0.37949,0.0
0.0007000,0.17519,0.39631,0.0
0.0007200,0.27582,0.40427,0.0
0.0007400,0.35842,0.40366,0.0
0.0007600,0.42424,0.39511,0.0
0.0007800,0.48300,0.37953,0.0
0.0008000,0.54427,0.35797,0.0
0.0008200,0.60918,0.33149,0.0
0.0008400,0.66865,0.30107,0.0
0.0008600,0.70973,0.26750,0.0
0.0008800,0.72502,0.23137,0.0
0.0009000,0.71794,0.19300,0.0
0.0009200,0.69987,0.15253,0.0
0.0009400,0.68120,0.10994,0.0
0.0009600,0.66342,0.06521,1.0
0.0009800,0.63816,0.01836,1.0
0.0010000,0.59403,-0.03040,0.0
0.0010200,0.52601,-0.08063,0.0
0.0010400,0.43995,-0.13158,0.0
0.0010600,0.34888,-0.18221,0.0
0.0010800,0.26390,-0.23121,0.0
0.0011000,0.18660,-0.27709,0.0
0.0011200,0.10896,-0.31831,0.0
0.0011400,0.02073,-0.35336,0.0
0.0011600,-0.08145,-0.38096,0.0
0.0011800,-0.19018,-0.40010,0.0
0.0012000,-0.29182,-0.41019,0.0
0.0012200,-0.37575,-0.41107,0.0
0.0012400,-0.44143,-0.40302,0.0
0.0012600,-0.49770,-0.38674,0.0
0.0012800,-0.55489,-0.36320,0.0
0.0013000,-0.61592,-0.33360,0.0
0.0013200,-0.67324,-0.29919,0.0
0.0013400,-0.71394,-0.26119,0.0
0.0013600,-0.72920,-0.22065,0.0
0.0013800,-0.72073,-0.17839,0.0
0.0014000,-0.69915,-0.13499,0.0
0.0014200,-0.67579,-0.09077,0.0
0.0014400,-0.65398,-0.04587,0.0
0.0014600,-0.62676,-0.00030,0.0
0.0014800,-0.58265,0.04591,0.0
0.0015000,-0.51510,0.09265,0.0
0.0015200,-0.42825,0.13962,0.0
0.0015400,-0.33457,0.18627,0.0
0.0015600,-0.24616,0.23174,0.0
0.0015800,-0.16649,0.27496,0.0
0.0016000,-0.08879,0.31462,0.0
0.0016200,-0.00252,0.34933,0.0
0.0016400,0.09729,0.37770,0.0
0.0016600,0.20495,0.39850,0.0
0.0016800,0.30726,0.41075,0.0
0.0017000,0.39250,0.41386,0.0
0.0017200,0.45830,0.40765,0.0
0.0017400,0.51237,0.39240,0.0
0.0017600,0.56555,0.36881,0.0
0.0017800,0.62248,0.33793,0.0
0.0018000,0.67725,0.30106,0.0
0.0018200,0.71731,0.25961,0.0
0.0018400,0.73261,0.21498,0.0
0.0018600,0.72304,0.16846,0.0
0.0018800,0.69829,0.12111,0.0
0.0019000,0.67034,0.07373,0.0
0.0019200,0.64430,0.02683,1.0
0.0019400,0.61479,-0.01933,0.0
0.0019600,0.57051,-0.06464,0.0
0.0019800,0.50356,-0.10912,0.0
0.0020000,0.41630,-0.15271,0.0
0.0020200,0.32037,-0.19528,0.0
0.0020400,0.22865,-0.23646,0.0
0.0020600,0.14641,-0.27566,0.0
0.0020800,0.06836,-0.31200,0.0
0.0021000,-0.01608,-0.34443,0.0
0.0021200,-0.11335,-0.37174,0.0
0.0021400,-0.21954,-0.39269,0.0
0.0021600,-0.32217,-0.40615,0.0
0.0021800,-0.40863,-0.41120,0.0
0.0022000,-0.47476,-0.40724,0.0
0.0022200,-0.52695,-0.39410,0.0
0.0022400,-0.57625,-0.37204,0.0
0.0022600,-0.62890,-0.34176,0.0
0.0022800,-0.68076,-0.30434,0.0
0.0023000,-0.71987,-0.26114,0.0
0.0023200,-0.73519,-0.21370,0.0
0.0023400,-0.72482,-0.16357,0.0
0.0023600,-0.69726,-0.11223,0.0
0.0023800,-0.66487,-0.06096,0.0
0.0024000,-0.63444,-0.01074,0.0
0.0024200,-0.60232,0.03772,0.0
0.0024400,-0.55763,0.08402,0.0
0.0024600,-0.49136,0.12801,0.0
0.0024800,-0.40405,0.16969,0.0
0.0025000,-0.30625,0.20910,0.0
0.0025200,-0.21139,0.24623,0.0
0.0025400,-0.12644,0.28094,0.0
