time,CH1,CH2,trigger
0.0000000,0.05563,0.17601,1.0
0.0000200,0.15210,0.18180,0.0
0.0000400,0.22053,0.17212,0.0
0.0000600,0.25196,0.14806,0.0
0.0000800,0.25589,0.11196,0.0
0.0001000,0.25038,0.06719,0.0
0.0001200,0.24647,0.01782,0.0
0.0001400,0.23917,-0.03184,0.0
0.0001600,0.21190,-0.07755,0.0
0.0001800,0.15098,-0.11563,0.0
0.0002000,0.05887,-0.14317,0.0
0.0002200,-0.04438,-0.15833,0.0
0.0002400,-0.13271,-0.16039,0.0
0.0002600,-0.19013,-0.14980,0.0
0.0002800,-0.21908,-0.12800,0.0
0.0003000,-0.23500,-0.09729,0.0
0.0003200,-0.25153,-0.06051,0.0
0.0003400,-0.26802,-0.02080,0.0
0.0003600,-0.26909,0.01871,0.0
0.0003800,-0.23670,0.05514,0.0
0.0004000,-0.16545,0.08607,0.0
0.0004200,-0.06899,0.10969,0.0
0.0004400,0.02733,0.12482,0.0
0.0004600,0.10233,0.13098,1.0
0.0004800,0.15131,0.12828,0.0
0.0005000,0.18566,0.11736,0.0
0.0005200,0.22029,0.09929,0.0
0.0005400,0.25898,0.07542,0.0
0.0005600,0.28915,0.04732,0.0
0.0005800,0.29026,0.01670,0.0
0.0006000,0.24944,-0.01473,0.0
0.0006200,0.17239,-0.04523,0.0
0.0006400,0.08090,-0.07310,0.0
0.0006600,-0.00109,-0.09676,0.0
0.0006800,-0.06246,-0.11473,0.0
0.0007000,-0.10951,-0.12578,0.0
0.0007200,-0.15703,-0.12892,0.0
0.0007400,-0.21299,-0.12358,0.0
0.0007600,-0.26898,-0.10962,0.0
0.0007800,-0.30407,-0.08747,0.0
0.0008000,-0.29928,-0.05817,0.0
0.0008200,-0.25164,-0.02335,0.0
0.0008400,-0.17696,0.01478,0.0
0.0008600,-0.09924,0.05353,0.0
0.0008800,-0.03467,0.08997,0.0
0.0009000,0.01752,0.12107,0.0
0.0009200,0.07067,0.14403,1.0
0.0009400,0.13625,0.15650,0.0
0.0009600,0.21105,0.15689,0.0
0.0009800,0.27604,0.14454,0.0
0.0010000,0.30814,0.11988,0.0
0.0010200,0.29596,0.08443,0.0
0.0010400,0.24763,0.04079,0.0
0.0010600,0.18457,-0.00759,0.0
0.0010800,0.12617,-0.05669,0.0
0.0011000,0.07704,-0.10225,0.0
0.0011200,0.02653,-0.14016,0.0
0.0011400,-0.03936,-0.16690,0.0
0.0011600,-0.12315,-0.17987,0.0
0.0011800,-0.20986,-0.17763,0.0
0.0012000,-0.27479,-0.16015,0.0
0.0012200,-0.29942,-0.12876,0.0
0.0012400,-0.28332,-0.08610,0.0
0.0012600,-0.24301,-0.03586,0.0
0.0012800,-0.19896,0.01754,0.0
0.0013000,-0.16055,0.06940,0.0
0.0013200,-0.12070,0.11516,0.0
0.0013400,-0.06413,0.15082,0.0
0.0013600,0.01733,0.17335,0.0
0.0013800,0.11450,0.18093,0.0
0.0014000,0.20384,0.17313,0.0
0.0014200,0.26176,0.15090,0.0
0.0014400,0.27935,0.11646,0.0
0.0014600,0.26656,0.07306,0.0
0.0014800,0.24275,0.02465,0.0
0.0015000,0.22096,-0.02452,0.0
0.0015200,0.19830,-0.07028,0.0
0.0015400,0.15964,-0.10894,0.0
0.0015600,0.09180,-0.13759,0.0
0.0015800,-0.00302,-0.15431,0.0
0.0016000,-0.10509,-0.15827,0.0
0.0016200,-0.18838,-0.14979,0.0
0.0016400,-0.23661,-0.13015,0.0
0.0016600,-0.25221,-0.10147,0.0
0.0016800,-0.25139,-0.06645,0.0
0.0017000,-0.24952,-0.02806,0.0
0.0017200,-0.24810,0.01068,0.0
0.0017400,-0.23361,0.04697,0.0
0.0017600,-0.18907,0.07842,0.0
0.0017800,-0.10927,0.10318,0.0
0.0018000,-0.00786,0.12000,0.0
0.0018200,0.08962,0.12825,1.0
0.0018400,0.16141,0.12789,0.0
0.0018600,0.20228,0.11937,0.0
0.0018800,0.22379,0.10354,0.0
0.0019000,0.24203,0.08159,0.0
0.0019200,0.26276,0.05492,0.0
0.0019400,0.27541,0.02510,0.0
0.0019600,0.26086,-0.00621,0.0
0.0019800,0.20691,-0.03728,0.0
0.0020000,0.11948,-0.06638,0.0
0.0020200,0.02076,-0.09179,0.0
0.0020400,-0.06449,-0.11193,0.0
0.0020600,-0.12416,-0.12534,0.0
0.0020800,-0.16405,-0.13087,0.0
0.0021000,-0.19948,-0.12773,0.0
0.0021200,-0.23990,-0.11561,0.0
0.0021400,-0.27885,-0.09480,0.0
0.0021600,-0.29702,-0.06623,0.0
0.0021800,-0.27639,-0.03150,0.0
0.0022000,-0.21443,0.00719,0.0
