time,CH1,CH2,trigger
0.0000000,0.70864,0.60761,1.0
0.0000200,0.84998,0.58032,1.0
0.0000400,0.95988,0.53518,0.0
0.0000600,1.03357,0.47373,0.0
0.0000800,1.07401,0.39811,0.0
0.0001000,1.08788,0.31094,0.0
0.0001200,1.07932,0.21520,0.0
0.0001400,1.04633,0.11405,0.0
0.0001600,0.98252,0.01071,0.0
0.0001800,0.88300,-0.09167,0.0
0.0002000,0.74971,-0.19016,0.0
0.0002200,0.59204,-0.28211,0.0
0.0002400,0.42230,-0.36519,0.0
0.0002600,0.24935,-0.43744,0.0
0.0002800,0.07522,-0.49726,0.0
0.0003000,-0.10260,-0.54338,0.0
0.0003200,-0.28537,-0.57485,0.0
0.0003400,-0.46808,-0.59101,0.0
0.0003600,-0.63946,-0.59148,0.0
0.0003800,-0.78692,-0.57616,0.0
0.0004000,-0.90286,-0.54523,0.0
0.0004200,-0.98749,-0.49922,0.0
0.0004400,-1.04606,-0.43897,0.0
0.0004600,-1.08281,-0.36577,0.0
0.0004800,-1.09627,-0.28128,0.0
0.0005000,-1.07960,-0.18762,0.0
0.0005200,-1.02579,-0.08732,0.0
0.0005400,-0.93365,0.01675,0.0
0.0005600,-0.80994,0.12142,0.0
0.0005800,-0.66601,0.22336,0.0
0.0006000,-0.51145,0.31922,0.0
0.0006200,-0.34959,0.40579,0.0
0.0006400,-0.17827,0.48012,0.0
0.0006600,0.00485,0.53971,0.0
0.0006800,0.19660,0.58260,0.0
0.0007000,0.38680,0.60749,0.0
0.0007200,0.56214,0.61375,0.0
0.0007400,0.71265,0.60146,0.0
0.0007600,0.83577,0.57134,1.0
0.0007800,0.93509,0.52472,0.0
0.0008000,1.01474,0.46341,0.0
0.0008200,1.07385,0.38957,0.0
0.0008400,1.10551,0.30566,0.0
0.0008600,1.10100,0.21422,0.0
0.0008800,1.05603,0.11790,0.0
0.0009000,0.97434,0.01926,0.0
0.0009200,0.86565,-0.07918,0.0
0.0009400,0.73970,-0.17502,0.0
0.0009600,0.60088,-0.26597,0.0
0.0009800,0.44746,-0.34988,0.0
0.0010000,0.27610,-0.42471,0.0
0.0010200,0.08790,-0.48855,0.0
0.0010400,-0.10867,-0.53964,0.0
0.0010600,-0.30038,-0.57641,0.0
0.0010800,-0.47548,-0.59757,0.0
0.0011000,-0.62888,-0.60212,0.0
0.0011200,-0.76232,-0.58946,0.0
0.0011400,-0.87958,-0.55951,0.0
0.0011600,-0.98051,-0.51270,0.0
0.0011800,-1.05853,-0.45006,0.0
0.0012000,-1.10366,-0.37324,0.0
0.0012200,-1.10881,-0.28445,0.0
0.0012400,-1.07443,-0.18643,0.0
0.0012600,-1.00806,-0.08230,0.0
0.0012800,-0.91903,0.02450,0.0
0.0013000,-0.81248,0.13045,0.0
0.0013200,-0.68719,0.23206,0.0
0.0013400,-0.53895,0.32604,0.0
0.0013600,-0.36668,0.40945,0.0
0.0013800,-0.17662,0.47982,0.0
0.0014000,0.01889,0.53524,0.0
0.0014200,0.20705,0.57437,0.0
0.0014400,0.38052,0.59647,0.0
0.0014600,0.53916,0.60137,0.0
0.0014800,0.68626,0.58939,0.0
0.0015000,0.82239,0.56128,1.0
0.0015200,0.94171,0.51817,0.0
0.0015400,1.03359,0.46145,0.0
0.0015600,1.08850,0.39272,0.0
0.0015800,1.10362,0.31379,0.0
0.0016000,1.08386,0.22659,0.0
0.0016200,1.03759,0.13319,0.0
0.0016400,0.97040,0.03581,0.0
0.0016600,0.88161,-0.06321,0.0
0.0016800,0.76634,-0.16138,0.0
0.0017000,0.62136,-0.25613,0.0
0.0017200,0.45025,-0.34481,0.0
0.0017400,0.26375,-0.42476,0.0
0.0017600,0.07494,-0.49343,0.0
0.0017800,-0.10710,-0.54847,0.0
0.0018000,-0.28037,-0.58783,0.0
0.0018200,-0.44754,-0.60992,0.0
0.0018400,-0.60991,-0.61369,0.0
0.0018600,-0.76275,-0.59873,0.0
0.0018800,-0.89539,-0.56531,0.0
0.0019000,-0.99647,-0.51441,0.0
0.0019200,-1.06002,-0.44769,0.0
0.0019400,-1.08807,-0.36738,0.0
0.0019600,-1.08756,-0.27622,0.0
0.0019800,-1.06419,-0.17729,0.0
0.0020000,-1.01786,-0.07390,0.0
0.0020200,-0.94325,0.03064,0.0
0.0020400,-0.83513,0.13309,0.0
0.0020600,-0.69420,0.23044,0.0
0.0020800,-0.52892,0.32000,0.0
0.0021000,-0.35187,0.39947,0.0
0.0021200,-0.17332,0.46694,0.0
0.0021400,0.00306,0.52094,0.0
0.0021600,0.17917,0.56039,0.0
0.0021800,0.35708,0.58457,0.0
0.0022000,0.53343,0.59307,0.0
0.0022200,0.69819,0.58582,0.0
0.0022400,0.83879,0.56299,1.0
0.0022600,0.94653,0.52506,0.0
0.0022800,1.02043,0.47277,0.0
0.0023000,1.06564,0.40721,0.0
0.0023200,1.08765,0.32978,0.0
0.0023400,1.08692,0.24225,0.0
0.0023600,1.05799,0.14679,0.0
0.0023800,0.99390,0.04589,0.0
0.0024000,0.89239,-0.05759,0.0
0.0024200,0.75914,-0.16060,0.0
0.0024400,0.60546,-0.25989,0.0
0.0024600,0.44221,-0.35224,0.0
0.0024800,0.27446,-0.43453,0.0
0.0025000,0.10111,-0.50394,0.0
0.0025200,-0.08056,-0.55805,0.0
0.0025400,-0.26885,-0.59502,0.0
0.0025600,-0.45495,-0.61364,0.0
0.0025800,-0.62586,-0.61340,0.0
0.0026000,-0.77065,-0.59449,0.0
0.0026200,-0.88545,-0.55780,0.0
0.0026400,-0.97330,-0.50481,0.0
0.0026600,-1.03922,-0.43751,0.0
0.0026800,-1.08421,-0.35828,0.0
0.0027000,-1.10297,-0.26976,0.0
0.0027200,-1.08720,-0.17470,0.0
0.0027400,-1.03177,-0.07591,0.0
0.0027600,-0.93924,0.02390,0.0
0.0027800,-0.81900,0.12212,0.0
0.0028000,-0.68180,0.21633,0.0
0.0028200,-0.53384,0.30429,0.0
0.0028400,-0.37479,0.38392,0.0
0.0028600,-0.20138,0.45336,0.0
0.0028800,-0.01354,0.51091,0.0
0.0029000,0.18172,0.55507,0.0
0.0029200,0.37174,0.58452,0.0
0.0029400,0.54402,0.59824,0.0
0.0029600,0.69204,0.59550,0.0
0.0029800,0.81664,0.57593,1.0
0.0030000,0.92209,0.53964,0.0
0.0030200,1.00988,0.48721,0.0
0.0030400,1.07520,0.41980,0.0
0.0030600,1.10885,0.33912,0.0
0.0030800,1.10315,0.24742,0.0
0.0031000,1.05736,0.14746,0.0
0.0031200,0.97839,0.04237,0.0
0.0031400,0.87629,-0.06443,0.0
0.0031600,0.75793,-0.16942,0.0
0.0031800,0.62378,-0.26912,0.0
0.0032000,0.47015,-0.36025,0.0
0.0032200,0.29513,-0.43991,0.0
0.0032400,0.10350,-0.50568,0.0
0.0032600,-0.09317,-0.55568,0.0
0.0032800,-0.28160,-0.58869,0.0
0.0033000,-0.45301,-0.60410,0.0
0.0033200,-0.60604,-0.60189,0.0
0.0033400,-0.74399,-0.58260,0.0
0.0033600,-0.86882,-0.54724,0.0
0.0033800,-0.97647,-0.49716,0.0
0.0034000,-1.05741,-0.43403,0.0
0.0034200,-1.10183,-0.35972,0.0
0.0034400,-1.10574,-0.27623,0.0
0.0034600,-1.07315,-0.18570,0.0
0.0034800,-1.01283,-0.09033,0.0
0.0035000,-0.93192,0.00760,0.0
0.0035200,-0.83162,0.10576,0.0
0.0035400,-0.70799,0.20172,0.0
0.0035600,-0.55734,0.29302,0.0
0.0035800,-0.38192,0.37717,0.0
0.0036000,-0.19147,0.45174,0.0
0.0036200,0.00070,0.51438,0.0
0.0036400,0.18415,0.56294,0.0
0.0036600,0.35540,0.59559,0.0
0.0036800,0.51668,0.61094,0.0
0.0037000,0.67031,0.60810,0.0
0.0037200,0.81329,0.58678,1.0
0.0037400,0.93627,0.54740,0.0
0.0037600,1.02791,0.49102,0.0
0.0037800,1.08120,0.41939,0.0
0.0038000,1.09705,0.33485,0.0
0.0038200,1.08241,0.24020,0.0
0.0038400,1.04431,0.13864,0.0
0.0038600,0.98457,0.03355,0.0
0.0038800,0.89920,-0.07167,0.0
0.0039000,0.78289,-0.17368,0.0
0.0039200,0.63519,-0.26944,0.0
0.0039400,0.46343,-0.35623,0.0
0.0039600,0.28013,-0.43176,0.0
0.0039800,0.09678,-0.49420,0.0
0.0040000,-0.08131,-0.54220,0.0
0.0040200,-0.25518,-0.57486,0.0
0.0040400,-0.42746,-0.59167,0.0
0.0040600,-0.59639,-0.59251,0.0
0.0040800,-0.75340,-0.57756,0.0
0.0041000,-0.88627,-0.54731,0.0
0.0041200,-0.98539,-0.50249,0.0
0.0041400,-1.04853,-0.44412,0.0
0.0041600,-1.08046,-0.37347,0.0
0.0041800,-1.08767,-0.29211,0.0
0.0042000,-1.07251,-0.20191,0.0
0.0042200,-1.03112,-0.10506,0.0
0.0042400,-0.95688,-0.00405,0.0
0.0042600,-0.84661,0.09835,0.0
0.0042800,-0.70478,0.19915,0.0
0.0043000,-0.54236,0.29527,0.0
0.0043200,-0.37121,0.38359,0.0
0.0043400,-0.19812,0.46114,0.0
0.0043600,-0.02323,0.52522,0.0
0.0043800,0.15628,0.57355,0.0
0.0044000,0.34005,0.60440,0.0
0.0044200,0.52084,0.61666,0.0
0.0044400,0.68624,0.60995,0.0
0.0044600,0.82464,0.58458,1.0
0.0044800,0.93083,0.54156,0.0
0.0045000,1.00712,0.48252,0.0
0.0045200,1.05913,0.40963,0.0
0.0045400,1.08961,0.32544,0.0
0.0045600,1.09504,0.23276,0.0
0.0045800,1.06783,0.13455,0.0
0.0046000,1.00225,0.03375,0.0
0.0046200,0.89962,-0.06679,0.0
0.0046400,0.76872,-0.16440,0.0
0.0046600,0.62103,-0.25660,0.0
0.0046800,0.46443,-0.34121,0.0
0.0047000,0.30017,-0.41626,0.0
0.0047200,0.12533,-0.48003,0.0
0.0047400,-0.06119,-0.53104,0.0
0.0047600,-0.25391,-0.56804,0.0
0.0047800,-0.44102,-0.59000,0.0
0.0048000,-0.60958,-0.59617,0.0
0.0048200,-0.75174,-0.58608,0.0
0.0048400,-0.86725,-0.55962,0.0
0.0048600,-0.96058,-0.51708,0.0
0.0048800,-1.03471,-0.45924,0.0
0.0049000,-1.08670,-0.38734,0.0
0.0049200,-1.10841,-0.30317,0.0
0.0049400,-1.09186,-0.20902,0.0
0.0049600,-1.03512,-0.10764,0.0
0.0049800,-0.94427,-0.00215,0.0
0.0050000,-0.82975,0.10406,0.0
0.0050200,-0.70001,0.20751,0.0
0.0050400,-0.55732,0.30475,0.0
0.0050600,-0.39877,0.39257,0.0
0.0050800,-0.22181,0.46808,0.0
0.0051000,-0.02980,0.52892,0.0
0.0051200,0.16677,0.57331,0.0
0.0051400,0.35441,0.60009,0.0
0.0051600,0.52309,0.60879,0.0
0.0051800,0.67012,0.59957,0.0
0.0052000,0.79853,0.57314,1.0
0.0052200,0.91143,0.53074,0.0
0.0052400,1.00663,0.47397,0.0
0.0052600,1.07592,0.40474,0.0
0.0052800,1.10951,0.32518,0.0
0.0053000,1.10236,0.23750,0.0
0.0053200,1.05746,0.14401,0.0
0.0053400,0.98359,0.04705,0.0
0.0053600,0.88931,-0.05105,0.0
0.0053800,0.77769,-0.14794,0.0
0.0054000,0.64598,-0.24127,0.0
0.0054200,0.49029,-0.32870,0.0
0.0054400,0.31159,-0.40794,0.0
0.0054600,0.11844,-0.47673,0.0
0.0054800,-0.07596,-0.53297,0.0
0.0055000,-0.26002,-0.57476,0.0
0.0055200,-0.42875,-0.60048,0.0
0.0055400,-0.58368,-0.60895,0.0
0.0055600,-0.72789,-0.59944,0.0
0.0055800,-0.86009,-0.57184,0.0
0.0056000,-0.97249,-0.52667,0.0
0.0056200,-1.05406,-0.46510,0.0
0.0056400,-1.09693,-0.38896,0.0
0.0056600,-1.10084,-0.30064,0.0
0.0056800,-1.07242,-0.20304,0.0
0.0057000,-1.01980,-0.09940,0.0
0.0057200,-0.94670,0.00683,0.0
0.0057400,-0.85063,0.11216,0.0
0.0057600,-0.72652,0.21324,0.0
0.0057800,-0.57289,0.30696,0.0
0.0058000,-0.39580,0.39059,0.0
0.0058200,-0.20739,0.46187,0.0
0.0058400,-0.02012,0.51906,0.0
0.0058600,0.15910,0.56091,0.0
0.0058800,0.33023,0.58669,0.0
0.0059000,0.49619,0.59612,0.0
0.0059200,0.65672,0.58931,0.0
0.0059400,0.80491,0.56675,1.0
0.0059600,0.92916,0.52920,0.0
0.0059800,1.01920,0.47767,0.0
0.0060000,1.07158,0.41342,0.0
0.0060200,1.09039,0.33795,0.0
0.0060400,1.08288,0.25298,0.0
0.0060600,1.05318,0.16047,0.0
0.0060800,0.99919,0.06265,0.0
0.0061000,0.91492,-0.03801,0.0
0.0061200,0.79647,-0.13882,0.0
0.0061400,0.64703,-0.23692,0.0
0.0061600,0.47697,-0.32934,0.0
0.0061800,0.29882,-0.41314,0.0
