time,CH1,CH2,trigger
0.0000000,0.00000,0.48831,1.0
0.0000200,0.15970,0.52341,1.0
0.0000400,0.30867,0.54536,0.0
0.0000600,0.44192,0.55394,0.0
0.0000800,0.56153,0.54935,0.0
0.0001000,0.67270,0.53216,0.0
0.0001200,0.77749,0.50327,0.0
0.0001400,0.87122,0.46377,0.0
0.0001600,0.94441,0.41490,0.0
0.0001800,0.98860,0.35794,0.0
0.0002000,1.00186,0.29419,0.0
0.0002200,0.98950,0.22490,0.0
0.0002400,0.95967,0.15132,0.0
0.0002600,0.91702,0.07467,0.0
0.0002800,0.85960,-0.00381,0.0
0.0003000,0.78112,-0.08281,0.0
0.0003200,0.67696,-0.16093,0.0
0.0003400,0.54922,-0.23667,0.0
0.0003600,0.40690,-0.30838,0.0
0.0003800,0.26095,-0.37436,0.0
0.0004000,0.11808,-0.43283,0.0
0.0004200,-0.02204,-0.48207,0.0
0.0004400,-0.16397,-0.52048,0.0
0.0004600,-0.31047,-0.54670,0.0
0.0004800,-0.45777,-0.55968,0.0
0.0005000,-0.59604,-0.55880,0.0
0.0005200,-0.71459,-0.54392,0.0
0.0005400,-0.80797,-0.51536,0.0
0.0005600,-0.87821,-0.47396,0.0
0.0005800,-0.93158,-0.42100,0.0
0.0006000,-0.97236,-0.35813,0.0
0.0006200,-0.99852,-0.28728,0.0
0.0006400,-1.00259,-0.21052,0.0
0.0006600,-0.97718,-0.12999,0.0
0.0006800,-0.92074,-0.04778,0.0
0.0007000,-0.83928,0.03416,0.0
0.0007200,-0.74256,0.11407,0.0
0.0007400,-0.63775,0.19041,0.0
0.0007600,-0.52544,0.26184,0.0
0.0007800,-0.40101,0.32723,0.0
0.0008000,-0.26025,0.38558,0.0
0.0008200,-0.10491,0.43600,0.0
0.0008400,0.05622,0.47770,1.0
0.0008600,0.21159,0.50988,1.0
0.0008800,0.35326,0.53182,0.0
0.0009000,0.48044,0.54282,0.0
0.0009200,0.59771,0.54230,0.0
0.0009400,0.70907,0.52981,0.0
0.0009600,0.81277,0.50515,0.0
0.0009800,0.90069,0.46840,0.0
0.0010000,0.96304,0.42000,0.0
0.0010200,0.99454,0.36080,0.0
0.0010400,0.99758,0.29206,0.0
0.0010600,0.97973,0.21544,0.0
0.0010800,0.94769,0.13295,0.0
0.0011000,0.90226,0.04687,0.0
0.0011200,0.83828,-0.04038,0.0
0.0011400,0.74951,-0.12630,0.0
0.0011600,0.63473,-0.20852,0.0
0.0011800,0.50027,-0.28485,0.0
0.0012000,0.35697,-0.35337,0.0
0.0012200,0.21393,-0.41255,0.0
0.0012400,0.07379,-0.46124,0.0
0.0012600,-0.06688,-0.49867,0.0
0.0012800,-0.21236,-0.52444,0.0
0.0013000,-0.36195,-0.53847,0.0
0.0013200,-0.50796,-0.54092,0.0
0.0013400,-0.63919,-0.53211,0.0
0.0013600,-0.74729,-0.51249,0.0
0.0013800,-0.83110,-0.48260,0.0
0.0014000,-0.89567,-0.44299,0.0
0.0014200,-0.94678,-0.39431,0.0
