time,CH1,CH2,trigger
0.0000000,0.80209,0.43102,1.0
0.0000200,0.88158,0.36551,1.0
0.0000400,0.91409,0.28297,0.0
0.0000600,0.89613,0.18720,0.0
0.0000800,0.83511,0.08276,0.0
0.0001000,0.74389,-0.02536,0.0
0.0001200,0.63233,-0.13198,0.0
0.0001400,0.50224,-0.23206,0.0
0.0001600,0.34963,-0.32093,0.0
0.0001800,0.17223,-0.39461,0.0
0.0002000,-0.02356,-0.44992,0.0
0.0002200,-0.22207,-0.48470,0.0
0.0002400,-0.40462,-0.49784,0.0
0.0002600,-0.55820,-0.48924,0.0
0.0002800,-0.68002,-0.45984,0.0
0.0003000,-0.77473,-0.41140,0.0
0.0003200,-0.84657,-0.34644,0.0
0.0003400,-0.89278,-0.26802,0.0
0.0003600,-0.90351,-0.17960,0.0
0.0003800,-0.86826,-0.08487,0.0
0.0004000,-0.78414,0.01242,0.0
0.0004200,-0.65937,0.10852,0.0
0.0004400,-0.50936,0.19986,0.0
0.0004600,-0.34828,0.28305,0.0
0.0004800,-0.18248,0.35501,0.0
0.0005000,-0.01061,0.41304,0.0
0.0005200,0.16974,0.45482,0.0
0.0005400,0.35444,0.47858,0.0
0.0005600,0.53019,0.48308,0.0
0.0005800,0.67925,0.46777,0.0
0.0006000,0.78811,0.43281,0.0
0.0006200,0.85354,0.37915,1.0
0.0006400,0.88167,0.30858,0.0
0.0006600,0.88076,0.22368,0.0
0.0006800,0.85359,0.12781,0.0
0.0007000,0.79521,0.02498,0.0
0.0007200,0.69786,-0.08028,0.0
0.0007400,0.55923,-0.18319,0.0
0.0007600,0.38759,-0.27889,0.0
0.0007800,0.19961,-0.36276,0.0
0.0008000,0.01246,-0.43066,0.0
0.0008200,-0.16398,-0.47920,0.0
0.0008400,-0.32897,-0.50594,0.0
0.0008600,-0.48568,-0.50955,0.0
0.0008800,-0.63314,-0.48988,0.0
0.0009000,-0.76185,-0.44798,0.0
0.0009200,-0.85666,-0.38602,0.0
0.0009400,-0.90483,-0.30714,0.0
0.0009600,-0.90330,-0.21527,0.0
0.0009800,-0.85960,-0.11487,0.0
0.0010000,-0.78575,-0.01066,0.0
0.0010200,-0.68989,0.09262,0.0
0.0010400,-0.57212,0.19046,0.0
0.0010600,-0.42757,0.27876,0.0
0.0010800,-0.25427,0.35405,0.0
0.0011000,-0.05954,0.41354,0.0
0.0011200,0.14024,0.45521,0.0
0.0011400,0.32654,0.47782,0.0
0.0011600,0.48719,0.48088,0.0
0.0011800,0.62011,0.46462,0.0
0.0012000,0.72973,0.42991,0.0
0.0012200,0.81893,0.37823,1.0
0.0012400,0.88312,0.31159,0.0
0.0012600,0.91097,0.23247,0.0
0.0012800,0.89158,0.14375,0.0
0.0013000,0.82240,0.04870,0.0
0.0013200,0.71199,-0.04912,0.0
0.0013400,0.57530,-0.14597,0.0
0.0013600,0.42515,-0.23795,0.0
0.0013800,0.26629,-0.32122,0.0
0.0014000,0.09651,-0.39210,0.0
0.0014200,-0.08631,-0.44724,0.0
0.0014400,-0.27686,-0.48385,0.0
0.0014600,-0.46066,-0.49982,0.0
0.0014800,-0.61958,-0.49394,0.0
0.0015000,-0.74053,-0.46597,0.0
0.0015200,-0.82087,-0.41675,0.0
0.0015400,-0.86657,-0.34822,0.0
0.0015600,-0.88467,-0.26333,0.0
0.0015800,-0.87605,-0.16593,0.0
0.0016000,-0.83409,-0.06056,0.0
0.0016200,-0.75037,0.04776,0.0
0.0016400,-0.62290,0.15385,0.0
0.0016600,-0.46055,0.25265,0.0
0.0016800,-0.28001,0.33950,0.0
0.0017000,-0.09755,0.41041,0.0
0.0017200,0.07825,0.46225,0.0
0.0017400,0.24747,0.49294,0.0
0.0017600,0.41297,0.50144,0.0
0.0017800,0.57245,0.48786,0.0
0.0018000,0.71485,0.45329,0.0
0.0018200,0.82410,0.39976,1.0
0.0018400,0.88749,0.33004,0.0
0.0018600,0.90244,0.24747,0.0
0.0018800,0.87650,0.15576,0.0
0.0019000,0.82068,0.05882,0.0
0.0019200,0.74136,-0.03941,0.0
0.0019400,0.63691,-0.13511,0.0
0.0019600,0.50167,-0.22466,0.0
0.0019800,0.33400,-0.30479,0.0
0.0020000,0.14209,-0.37258,0.0
0.0020200,-0.05714,-0.42554,0.0
0.0020400,-0.24552,-0.46166,0.0
0.0020600,-0.41182,-0.47949,0.0
0.0020800,-0.55470,-0.47814,0.0
0.0021000,-0.67829,-0.45736,0.0
0.0021200,-0.78407,-0.41758,0.0
0.0021400,-0.86562,-0.35999,0.0
0.0021600,-0.91032,-0.28652,0.0
0.0021800,-0.90694,-0.19983,0.0
0.0022000,-0.85334,-0.10328,0.0
0.0022200,-0.75831,-0.00085,0.0
0.0022400,-0.63618,0.10306,0.0
0.0022600,-0.49827,0.20378,0.0
0.0022800,-0.34774,0.29660,0.0
0.0023000,-0.18152,0.37706,0.0
0.0023200,0.00216,0.44117,0.0
0.0023400,0.19683,0.48565,0.0
0.0023600,0.38702,0.50819,0.0
0.0023800,0.55436,0.50756,0.0
0.0024000,0.68634,0.48370,0.0
0.0024200,0.78090,0.43777,0.0
0.0024400,0.84381,0.37204,1.0
0.0024600,0.88078,0.28979,0.0
0.0024800,0.89076,0.19505,0.0
0.0025000,0.86554,0.09243,0.0
0.0025200,0.79616,-0.01319,0.0
0.0025400,0.68100,-0.11696,0.0
0.0025600,0.52943,-0.21425,0.0
0.0025800,0.35796,-0.30092,0.0
0.0026000,0.18182,-0.37348,0.0
0.0026200,0.00820,-0.42922,0.0
0.0026400,-0.16380,-0.46623,0.0
0.0026600,-0.33665,-0.48349,0.0
0.0026800,-0.50672,-0.48077,0.0
0.0027000,-0.66150,-0.45860,0.0
0.0027200,-0.78418,-0.41819,0.0
0.0027400,-0.86223,-0.36134,0.0
0.0027600,-0.89357,-0.29036,0.0
0.0027800,-0.88565,-0.20798,0.0
0.0028000,-0.84837,-0.11728,0.0
0.0028200,-0.78627,-0.02161,0.0
0.0028400,-0.69603,0.07548,0.0
0.0028600,-0.57128,0.17029,0.0
0.0028800,-0.41073,0.25910,0.0
0.0029000,-0.22339,0.33829,0.0
0.0029200,-0.02651,0.40442,0.0
0.0029400,0.16226,0.45443,0.0
0.0029600,0.33277,0.48580,0.0
0.0029800,0.48440,0.49668,0.0
0.0030000,0.62088,0.48606,0.0
0.0030200,0.74229,0.45387,0.0
0.0030400,0.84045,0.40110,1.0
0.0030600,0.90154,0.32972,0.0
0.0030800,0.91420,0.24275,0.0
0.0031000,0.87668,0.14404,0.0
0.0031200,0.79792,0.03812,0.0
0.0031400,0.69146,-0.07000,0.0
0.0031600,0.56701,-0.17517,0.0
0.0031800,0.42610,-0.27235,0.0
0.0032000,0.26487,-0.35688,0.0
0.0032200,0.08197,-0.42483,0.0
0.0032400,-0.11508,-0.47311,0.0
0.0032600,-0.30991,-0.49968,0.0
0.0032800,-0.48417,-0.50365,0.0
0.0033000,-0.62602,-0.48522,0.0
0.0033200,-0.73402,-0.44570,0.0
0.0033400,-0.81361,-0.38733,0.0
0.0033600,-0.86912,-0.31310,0.0
0.0033800,-0.89756,-0.22663,0.0
0.0034000,-0.88928,-0.13185,0.0
0.0034200,-0.83485,-0.03291,0.0
0.0034400,-0.73303,0.06610,0.0
0.0034600,-0.59362,0.16126,0.0
0.0034800,-0.43279,0.24895,0.0
0.0035000,-0.26453,0.32594,0.0
0.0035200,-0.09457,0.38946,0.0
0.0035400,0.07871,0.43728,0.0
0.0035600,0.25739,0.46768,0.0
0.0035800,0.43651,0.47951,0.0
0.0036000,0.60225,0.47223,0.0
0.0036200,0.73725,0.44592,0.0
0.0036400,0.82928,0.40131,1.0
0.0036600,0.87675,0.33982,0.0
0.0036800,0.88697,0.26352,0.0
0.0037000,0.86858,0.17517,0.0
0.0037200,0.82423,0.07816,0.0
0.0037400,0.74896,-0.02362,0.0
0.0037600,0.63576,-0.12586,0.0
0.0037800,0.48377,-0.22404,0.0
0.0038000,0.30269,-0.31365,0.0
0.0038200,0.10996,-0.39037,0.0
0.0038400,-0.07752,-0.45040,0.0
0.0038600,-0.25076,-0.49061,0.0
0.0038800,-0.40981,-0.50883,0.0
0.0039000,-0.55801,-0.50394,0.0
0.0039200,-0.69396,-0.47599,0.0
0.0039400,-0.80780,-0.42622,0.0
0.0039600,-0.88473,-0.35699,0.0
0.0039800,-0.91330,-0.27168,0.0
0.0040000,-0.89223,-0.17444,0.0
0.0040200,-0.83048,-0.06998,0.0
0.0040400,-0.74065,0.03671,0.0
0.0040600,-0.63075,0.14066,0.0
0.0040800,-0.50066,0.23717,0.0
0.0041000,-0.34583,0.32203,0.0
0.0041200,-0.16532,0.39178,0.0
0.0041400,0.03232,0.44373,0.0
0.0041600,0.23003,0.47612,0.0
0.0041800,0.40964,0.48811,0.0
0.0042000,0.56012,0.47971,0.0
0.0042200,0.68063,0.45175,0.0
0.0042400,0.77623,0.40575,0.0
0.0042600,0.84978,0.34385,1.0
0.0042800,0.89641,0.26864,0.0
0.0043000,0.90510,0.18311,0.0
0.0043200,0.86607,0.09053,0.0
0.0043400,0.77853,-0.00566,0.0
0.0043600,0.65256,-0.10186,0.0
0.0043800,0.50381,-0.19448,0.0
0.0044000,0.34492,-0.27994,0.0
0.0044200,0.18012,-0.35483,0.0
0.0044400,0.00704,-0.41599,0.0
0.0044600,-0.17590,-0.46066,0.0
0.0044800,-0.36246,-0.48660,0.0
0.0045000,-0.53764,-0.49223,0.0
0.0045200,-0.68373,-0.47678,0.0
0.0045400,-0.78893,-0.44037,0.0
0.0045600,-0.85216,-0.38410,0.0
0.0045800,-0.88046,-0.31005,0.0
0.0046000,-0.88113,-0.22125,0.0
0.0046200,-0.85489,-0.12155,0.0
0.0046400,-0.79521,-0.01545,0.0
0.0046600,-0.69456,0.09208,0.0
0.0046800,-0.55248,0.19594,0.0
0.0047000,-0.37932,0.29113,0.0
0.0047200,-0.19248,0.37307,0.0
0.0047400,-0.00796,0.43784,0.0
0.0047600,0.16650,0.48243,0.0
0.0047800,0.33162,0.50489,0.0
0.0048000,0.49023,0.50439,0.0
0.0048200,0.63950,0.48129,0.0
0.0048400,0.76798,0.43704,0.0
0.0048600,0.86002,0.37408,1.0
0.0048800,0.90425,0.29564,0.0
0.0049000,0.89985,0.20553,0.0
0.0049200,0.85569,0.10795,0.0
0.0049400,0.78331,0.00722,0.0
0.0049600,0.68892,-0.09240,0.0
0.0049800,0.57077,-0.18689,0.0
0.0050000,0.42368,-0.27260,0.0
0.0050200,0.24716,-0.34637,0.0
0.0050400,0.05073,-0.40559,0.0
0.0050600,-0.14807,-0.44822,0.0
0.0050800,-0.33142,-0.47285,0.0
0.0051000,-0.48922,-0.47864,0.0
0.0051200,-0.62122,-0.46540,0.0
0.0051400,-0.73201,-0.43355,0.0
0.0051600,-0.82294,-0.38410,0.0
0.0051800,-0.88731,-0.31872,0.0
0.0052000,-0.91284,-0.23968,0.0
0.0052200,-0.88956,-0.14981,0.0
0.0052400,-0.81710,-0.05251,0.0
0.0052600,-0.70573,0.04836,0.0
0.0052800,-0.57042,0.14865,0.0
0.0053000,-0.42229,0.24398,0.0
0.0053200,-0.26406,0.33003,0.0
0.0053400,-0.09268,0.40270,0.0
0.0053600,0.09289,0.45837,0.0
0.0053800,0.28520,0.49411,0.0
0.0054000,0.46824,0.50789,0.0
0.0054200,0.62409,0.49871,0.0
0.0054400,0.74154,0.46675,0.0
0.0054600,0.82001,0.41331,1.0
0.0054800,0.86617,0.34086,0.0
0.0055000,0.88591,0.25282,0.0
0.0055200,0.87797,0.15345,0.0
0.0055400,0.83438,0.04753,0.0
0.0055600,0.74714,-0.05987,0.0
0.0055800,0.61626,-0.16368,0.0
0.0056000,0.45259,-0.25915,0.0
0.0056200,0.27333,-0.34203,0.0
0.0056400,0.09341,-0.40885,0.0
0.0056600,-0.08075,-0.45700,0.0
0.0056800,-0.25051,-0.48481,0.0
0.0057000,-0.41815,-0.49161,0.0
0.0057200,-0.57939,-0.47766,0.0
0.0057400,-0.72133,-0.44405,0.0
0.0057600,-0.82762,-0.39263,0.0
0.0057800,-0.88713,-0.32581,0.0
0.0058000,-0.89947,-0.24651,0.0
0.0058200,-0.87335,-0.15796,0.0
0.0058400,-0.81907,-0.06361,0.0
