time,CH1,CH2,trigger
0.0000000,0.90637,0.01076,1.0
0.0000200,0.82334,-0.08048,1.0
0.0000400,0.71177,-0.17119,0.0
0.0000600,0.57253,-0.25883,0.0
0.0000800,0.41500,-0.34079,0.0
0.0001000,0.25226,-0.41449,0.0
0.0001200,0.09363,-0.47757,0.0
0.0001400,-0.05962,-0.52794,0.0
0.0001600,-0.21230,-0.56400,0.0
0.0001800,-0.36856,-0.58464,0.0
0.0002000,-0.52562,-0.58936,0.0
0.0002200,-0.67308,-0.57826,0.0
0.0002400,-0.79819,-0.55199,0.0
0.0002600,-0.89320,-0.51171,0.0
0.0002800,-0.95918,-0.45899,0.0
0.0003000,-1.00336,-0.39566,0.0
0.0003200,-1.03208,-0.32374,0.0
0.0003400,-1.04494,-0.24529,0.0
0.0003600,-1.03453,-0.16236,0.0
0.0003800,-0.99213,-0.07687,0.0
0.0004000,-0.91484,0.00938,0.0
0.0004200,-0.80868,0.09471,0.0
0.0004400,-0.68531,0.17758,0.0
0.0004600,-0.55471,0.25652,0.0
0.0004800,-0.41958,0.33009,0.0
0.0005000,-0.27570,0.39685,0.0
0.0005200,-0.11783,0.45537,0.0
0.0005400,0.05336,0.50420,0.0
0.0005600,0.22882,0.54192,0.0
0.0005800,0.39509,0.56721,0.0
0.0006000,0.54167,0.57895,0.0
0.0006200,0.66625,0.57627,0.0
0.0006400,0.77375,0.55869,0.0
0.0006600,0.87003,0.52620,0.0
0.0006800,0.95519,0.47930,0.0
0.0007000,1.02162,0.41904,0.0
0.0007200,1.05849,0.34703,0.0
0.0007400,1.05909,0.26535,0.0
0.0007600,1.02550,0.17646,0.0
0.0007800,0.96689,0.08310,0.0
0.0008000,0.89288,-0.01185,1.0
0.0008200,0.80698,-0.10556,1.0
0.0008400,0.70517,-0.19534,0.0
0.0008600,0.58079,-0.27877,0.0
0.0008800,0.43174,-0.35383,0.0
0.0009000,0.26454,-0.41887,0.0
0.0009200,0.09198,-0.47268,0.0
0.0009400,-0.07394,-0.51446,0.0
0.0009600,-0.22823,-0.54375,0.0
0.0009800,-0.37378,-0.56036,0.0
0.0010000,-0.51611,-0.56434,0.0
0.0010200,-0.65618,-0.55588,0.0
0.0010400,-0.78696,-0.53528,0.0
0.0010600,-0.89631,-0.50294,0.0
0.0010800,-0.97424,-0.45933,0.0
0.0011000,-1.01872,-0.40507,0.0
0.0011200,-1.03589,-0.34095,0.0
0.0011400,-1.03424,-0.26798,0.0
0.0011600,-1.01760,-0.18745,0.0
0.0011800,-0.98204,-0.10096,0.0
0.0012000,-0.91938,-0.01046,0.0
0.0012200,-0.82435,0.08182,0.0
0.0012400,-0.70000,0.17338,0.0
0.0012600,-0.55707,0.26157,0.0
0.0012800,-0.40779,0.34371,0.0
0.0013000,-0.25887,0.41720,0.0
0.0013200,-0.10896,0.47969,0.0
0.0013400,0.04742,0.52920,0.0
0.0013600,0.21266,0.56422,0.0
0.0013800,0.38119,0.58380,0.0
0.0014000,0.54077,0.58757,0.0
0.0014200,0.67905,0.57576,0.0
0.0014400,0.79036,0.54912,0.0
0.0014600,0.87762,0.50886,0.0
0.0014800,0.94789,0.45653,0.0
0.0015000,1.00507,0.39394,0.0
0.0015200,1.04548,0.32299,0.0
0.0015400,1.05966,0.24562,0.0
0.0015600,1.03921,0.16371,0.0
0.0015800,0.98315,0.07906,0.0
0.0016000,0.89913,-0.00663,1.0
0.0016200,0.79838,-0.09179,1.0
0.0016400,0.68837,-0.17488,0.0
