time,CH1,CH2,trigger
0.0000000,0.97916,0.65937,1.0
0.0000200,1.08052,0.62337,1.0
0.0000400,1.15453,0.57624,0.0
0.0000600,1.19740,0.51911,0.0
0.0000800,1.21717,0.45352,0.0
0.0001000,1.22685,0.38126,0.0
0.0001200,1.23404,0.30423,0.0
0.0001400,1.23478,0.22434,0.0
0.0001600,1.21664,0.14332,0.0
0.0001800,1.16843,0.06264,0.0
0.0002000,1.08928,-0.01656,0.0
0.0002200,0.98979,-0.09346,0.0
0.0002400,0.88458,-0.16758,0.0
0.0002600,0.78190,-0.23866,0.0
0.0002800,0.67827,-0.30659,0.0
0.0003000,0.56238,-0.37124,0.0
0.0003200,0.42507,-0.43240,0.0
0.0003400,0.26789,-0.48968,0.0
0.0003600,0.10331,-0.54240,0.0
0.0003800,-0.05329,-0.58966,0.0
0.0004000,-0.19397,-0.63030,0.0
0.0004200,-0.32272,-0.66303,0.0
0.0004400,-0.45077,-0.68653,0.0
0.0004600,-0.58638,-0.69957,0.0
0.0004800,-0.72688,-0.70117,0.0
0.0005000,-0.85931,-0.69073,0.0
0.0005200,-0.96908,-0.66806,0.0
0.0005400,-1.04996,-0.63351,0.0
0.0005600,-1.10780,-0.58789,0.0
0.0005800,-1.15504,-0.53247,0.0
0.0006000,-1.20026,-0.46884,0.0
0.0006200,-1.24094,-0.39878,0.0
0.0006400,-1.26493,-0.32415,0.0
0.0006600,-1.25957,-0.24672,0.0
0.0006800,-1.22136,-0.16805,0.0
0.0007000,-1.15883,-0.08940,0.0
0.0007200,-1.08617,-0.01173,0.0
0.0007400,-1.01284,0.06434,0.0
0.0007600,-0.93684,0.13845,0.0
0.0007800,-0.84717,0.21039,0.0
0.0008000,-0.73326,0.28005,0.0
0.0008200,-0.59431,0.34721,0.0
0.0008400,-0.44114,0.41150,0.0
0.0008600,-0.28924,0.47233,0.0
0.0008800,-0.14823,0.52881,0.0
0.0009000,-0.01601,0.57979,0.0
0.0009200,0.11810,0.62395,0.0
0.0009400,0.26344,0.65984,0.0
0.0009600,0.41924,0.68607,0.0
0.0009800,0.57358,0.70142,0.0
0.0010000,0.71110,0.70496,0.0
0.0010200,0.82335,0.69619,0.0
0.0010400,0.91395,0.67508,0.0
0.0010600,0.99450,0.64213,1.0
0.0010800,1.07444,0.59828,1.0
0.0011000,1.15278,0.54489,0.0
0.0011200,1.21796,0.48356,0.0
0.0011400,1.25608,0.41607,0.0
0.0011600,1.26118,0.34416,0.0
0.0011800,1.23942,0.26944,0.0
0.0012000,1.20425,0.19327,0.0
0.0012200,1.16603,0.11672,0.0
0.0012400,1.12429,0.04054,0.0
0.0012600,1.06849,-0.03481,0.0
0.0012800,0.98679,-0.10906,0.0
0.0013000,0.87600,-0.18204,0.0
0.0013200,0.74493,-0.25356,0.0
0.0013400,0.60874,-0.32331,0.0
0.0013600,0.47842,-0.39074,0.0
0.0013800,0.35363,-0.45503,0.0
0.0014000,0.22445,-0.51507,0.0
0.0014200,0.08050,-0.56953,0.0
0.0014400,-0.07944,-0.61689,0.0
0.0014600,-0.24489,-0.65563,0.0
0.0014800,-0.40017,-0.68431,0.0
0.0015000,-0.53490,-0.70172,0.0
0.0015200,-0.65048,-0.70706,0.0
0.0015400,-0.75748,-0.69993,0.0
0.0015600,-0.86607,-0.68047,0.0
0.0015800,-0.97685,-0.64931,0.0
0.0016000,-1.07916,-0.60751,0.0
0.0016200,-1.15827,-0.55647,0.0
0.0016400,-1.20583,-0.49782,0.0
0.0016600,-1.22558,-0.43322,0.0
0.0016800,-1.22988,-0.36431,0.0
0.0017000,-1.22976,-0.29249,0.0
0.0017200,-1.22621,-0.21893,0.0
0.0017400,-1.20940,-0.14449,0.0
0.0017600,-1.16644,-0.06971,0.0
0.0017800,-1.09171,0.00505,0.0
0.0018000,-0.99177,0.07960,0.0
0.0018200,-0.88100,0.15377,0.0
0.0018400,-0.77140,0.22727,0.0
0.0018600,-0.66436,0.29965,0.0
0.0018800,-0.55077,0.37016,0.0
0.0019000,-0.41937,0.43776,0.0
0.0019200,-0.26686,0.50113,0.0
0.0019400,-0.10193,0.55876,0.0
