time,CH1,CH2,trigger
0.0000000,0.94959,0.25793,1.0
0.0000200,0.93547,0.16667,1.0
0.0000400,0.88239,0.06859,0.0
0.0000600,0.79091,-0.03267,0.0
0.0000800,0.66846,-0.13321,0.0
0.0001000,0.52585,-0.22912,0.0
0.0001200,0.37189,-0.31664,0.0
0.0001400,0.21015,-0.39234,0.0
0.0001600,0.04034,-0.45329,0.0
0.0001800,-0.13710,-0.49720,0.0
0.0002000,-0.31663,-0.52252,0.0
0.0002200,-0.48730,-0.52847,0.0
0.0002400,-0.63664,-0.51511,0.0
0.0002600,-0.75607,-0.48323,0.0
0.0002800,-0.84377,-0.43433,0.0
0.0003000,-0.90285,-0.37049,0.0
0.0003200,-0.93646,-0.29427,0.0
0.0003400,-0.94362,-0.20856,0.0
0.0003600,-0.91909,-0.11646,0.0
0.0003800,-0.85741,-0.02116,0.0
0.0004000,-0.75798,0.07415,0.0
0.0004200,-0.62725,0.16640,0.0
0.0004400,-0.47619,0.25267,0.0
0.0004600,-0.31505,0.33027,0.0
0.0004800,-0.14918,0.39678,0.0
0.0005000,0.02086,0.45009,0.0
0.0005200,0.19523,0.48843,0.0
0.0005400,0.37003,0.51046,0.0
0.0005600,0.53564,0.51524,0.0
0.0005800,0.67978,0.50237,0.0
0.0006000,0.79282,0.47196,0.0
0.0006200,0.87167,0.42473,0.0
0.0006400,0.91918,0.36199,0.0
0.0006600,0.93963,0.28569,0.0
0.0006800,0.93405,0.19832,1.0
0.0007000,0.89875,0.10294,0.0
0.0007200,0.82852,0.00298,0.0
0.0007400,0.72175,-0.09782,0.0
0.0007600,0.58370,-0.19558,0.0
0.0007800,0.42513,-0.28649,0.0
0.0008000,0.25743,-0.36696,0.0
0.0008200,0.08770,-0.43382,0.0
0.0008400,-0.08233,-0.48445,0.0
0.0008600,-0.25312,-0.51694,0.0
0.0008800,-0.42224,-0.53013,0.0
0.0009000,-0.58169,-0.52370,0.0
0.0009200,-0.71973,-0.49814,0.0
0.0009400,-0.82600,-0.45467,0.0
0.0009600,-0.89610,-0.39520,0.0
0.0009800,-0.93226,-0.32220,0.0
0.0010000,-0.93961,-0.23853,0.0
0.0010200,-0.92103,-0.14735,0.0
0.0010400,-0.87465,-0.05196,0.0
0.0010600,-0.79585,0.04436,0.0
0.0010800,-0.68226,0.13838,0.0
0.0011000,-0.53785,0.22707,0.0
0.0011200,-0.37282,0.30765,0.0
0.0011400,-0.19929,0.37762,0.0
0.0011600,-0.02607,0.43484,0.0
0.0011800,0.14374,0.47751,0.0
0.0012000,0.31053,0.50425,0.0
0.0012200,0.47316,0.51411,0.0
0.0012400,0.62539,0.50659,0.0
0.0012600,0.75640,0.48171,0.0
0.0012800,0.85543,0.44001,0.0
0.0013000,0.91683,0.38261,0.0
0.0013200,0.94197,0.31118,0.0
0.0013400,0.93640,0.22798,1.0
0.0013600,0.90472,0.13575,0.0
0.0013800,0.84699,0.03772,0.0
0.0014000,0.75956,-0.06257,0.0
0.0014200,0.63961,-0.16136,0.0
0.0014400,0.48978,-0.25485,0.0
0.0014600,0.31937,-0.33938,0.0
0.0014800,0.14090,-0.41159,0.0
0.0015000,-0.03535,-0.46859,0.0
0.0015200,-0.20474,-0.50812,0.0
0.0015400,-0.36720,-0.52867,0.0
0.0015600,-0.52267,-0.52951,0.0
0.0015800,-0.66668,-0.51076,0.0
0.0016000,-0.78971,-0.47335,0.0
0.0016200,-0.88096,-0.41891,0.0
0.0016400,-0.93368,-0.34977,0.0
0.0016600,-0.94815,-0.26871,0.0
0.0016800,-0.93000,-0.17888,0.0
0.0017000,-0.88526,-0.08367,0.0
0.0017200,-0.81601,0.01351,0.0
0.0017400,-0.71989,0.10929,0.0
0.0017600,-0.59392,0.20049,0.0
0.0017800,-0.43954,0.28417,0.0
0.0018000,-0.26489,0.35773,0.0
0.0018200,-0.08246,0.41892,0.0
0.0018400,0.09624,0.46590,0.0
0.0018600,0.26494,0.49725,0.0
0.0018800,0.42285,0.51197,0.0
0.0019000,0.57062,0.50953,0.0
0.0019200,0.70553,0.48986,0.0
0.0019400,0.81964,0.45341,0.0
0.0019600,0.90250,0.40114,0.0
0.0019800,0.94647,0.33453,0.0
0.0020000,0.95065,0.25558,1.0
0.0020200,0.92038,0.16681,1.0
0.0020400,0.86280,0.07119,0.0
0.0020600,0.78196,-0.02795,0.0
0.0020800,0.67706,-0.12701,0.0
0.0021000,0.54536,-0.22229,0.0
0.0021200,0.38723,-0.31010,0.0
0.0021400,0.20948,-0.38697,0.0
0.0021600,0.02417,-0.44982,0.0
0.0021800,-0.15627,-0.49610,0.0
0.0022000,-0.32400,-0.52394,0.0
0.0022200,-0.47717,-0.53222,0.0
0.0022400,-0.61683,-0.52068,0.0
0.0022600,-0.74189,-0.48986,0.0
0.0022800,-0.84617,-0.44113,0.0
0.0023000,-0.91998,-0.37654,0.0
0.0023200,-0.95509,-0.29875,0.0
0.0023400,-0.94935,-0.21086,0.0
0.0023600,-0.90750,-0.11627,0.0
0.0023800,-0.83745,-0.01851,0.0
0.0024000,-0.74508,0.07891,0.0
0.0024200,-0.63136,0.17262,0.0
0.0024400,-0.49414,0.25950,0.0
0.0024600,-0.33297,0.33680,0.0
0.0024800,-0.15323,0.40212,0.0
0.0025000,0.03381,0.45352,0.0
0.0025200,0.21518,0.48949,0.0
0.0025400,0.38156,0.50899,0.0
0.0025600,0.52985,0.51146,0.0
0.0025800,0.66113,0.49678,0.0
0.0026000,0.77572,0.46532,0.0
0.0026200,0.86933,0.41793,0.0
0.0026400,0.93340,0.35597,0.0
0.0026600,0.95943,0.28124,0.0
0.0026800,0.94413,0.19607,1.0
0.0027000,0.89133,0.10317,0.0
0.0027200,0.80932,0.00567,0.0
0.0027400,0.70561,-0.09303,0.0
0.0027600,0.58308,-0.18934,0.0
0.0027800,0.44052,-0.27965,0.0
0.0028000,0.27692,-0.36045,0.0
0.0028200,0.09625,-0.42851,0.0
0.0028400,-0.09134,-0.48106,0.0
0.0028600,-0.27272,-0.51593,0.0
0.0028800,-0.43729,-0.53164,0.0
0.0029000,-0.58057,-0.52753,0.0
0.0029200,-0.70330,-0.50376,0.0
0.0029400,-0.80695,-0.46132,0.0
0.0029600,-0.88915,-0.40199,0.0
0.0029800,-0.94278,-0.32820,0.0
0.0030000,-0.95947,-0.24294,0.0
0.0030200,-0.93489,-0.14957,0.0
0.0030400,-0.87180,-0.05168,0.0
0.0030600,-0.77849,0.04710,0.0
0.0030800,-0.66381,0.14320,0.0
0.0031000,-0.53255,0.23332,0.0
0.0031200,-0.38477,0.31449,0.0
0.0031400,-0.21926,0.38412,0.0
0.0031600,-0.03863,0.44012,0.0
0.0031800,0.14829,0.48086,0.0
0.0032000,0.32867,0.50521,0.0
0.0032200,0.49089,0.51255,0.0
0.0032400,0.62900,0.50273,0.0
0.0032600,0.74311,0.47606,0.0
0.0032800,0.83550,0.43334,0.0
0.0033000,0.90567,0.37582,0.0
0.0033200,0.94819,0.30520,0.0
0.0033400,0.95520,0.22360,1.0
0.0033600,0.92158,0.13358,0.0
0.0033800,0.84888,0.03805,0.0
0.0034000,0.74503,-0.05979,0.0
0.0034200,0.61987,-0.15650,0.0
0.0034400,0.48009,-0.24858,0.0
0.0034600,0.32721,-0.33254,0.0
0.0034800,0.16021,-0.40510,0.0
0.0035000,-0.01948,-0.46334,0.0
0.0035200,-0.20457,-0.50482,0.0
0.0035400,-0.38287,-0.52776,0.0
0.0035600,-0.54206,-0.53112,0.0
0.0035800,-0.67482,-0.51467,0.0
0.0036000,-0.78031,-0.47902,0.0
0.0036200,-0.86128,-0.42559,0.0
